date,M_assigned,M_required,M_shortfall,IP_assigned,IP_required,IP_shortfall,A_assigned,A_required,A_shortfall,N_assigned,N_required,N_shortfall,M3_assigned,M3_required,M3_shortfall,M4_assigned,M4_required,M4_shortfall,H_assigned,H_required,H_shortfall,CL_assigned,CL_required,CL_shortfall
2025-03-01,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-02,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-03,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-04,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-05,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-06,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-07,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-08,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-09,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-10,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-11,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-12,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-13,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-14,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-15,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-16,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-17,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-18,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-19,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-20,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-21,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-22,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-23,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-24,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-25,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-26,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-27,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3,0
2025-03-28,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-29,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2025-03-30,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
2025-03-31,6,6,0,3,3,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0
