date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2026-01-01,9,8,1,1,1,1,0,2
2026-01-02,0,0,1,1,1,0,0,0
2026-01-03,0,0,1,1,1,0,0,0
2026-01-04,9,8,1,1,1,1,0,2
2026-01-05,9,8,1,1,1,1,1,2
2026-01-06,9,8,1,1,1,1,0,2
2026-01-07,9,8,1,1,1,1,1,2
2026-01-08,9,8,1,1,1,1,0,2
2026-01-09,0,0,1,1,1,0,0,0
2026-01-10,0,0,1,1,1,0,0,0
2026-01-11,9,8,1,1,1,1,0,2
2026-01-12,9,8,1,1,1,1,1,2
2026-01-13,9,8,1,1,1,1,0,2
2026-01-14,9,8,1,1,1,1,1,2
2026-01-15,9,8,1,1,1,1,0,2
2026-01-16,0,0,1,1,1,0,0,0
2026-01-17,0,0,1,1,1,0,0,0
2026-01-18,9,8,1,1,1,1,0,2
2026-01-19,9,8,1,1,1,1,1,2
2026-01-20,9,8,1,1,1,1,0,2
2026-01-21,9,8,1,1,1,1,1,2
2026-01-22,9,8,1,1,1,1,0,2
2026-01-23,0,0,1,1,1,0,0,0
2026-01-24,0,0,1,1,1,0,0,0
2026-01-25,9,8,1,1,1,1,0,2
2026-01-26,9,8,1,1,1,1,1,2
2026-01-27,9,8,1,1,1,1,0,2
2026-01-28,9,8,1,1,1,1,1,2
2026-01-29,9,8,1,1,1,1,0,2
2026-01-30,0,0,1,1,1,0,0,0
2026-01-31,0,0,1,1,1,0,0,0
